"Name","Id","Version","Available","Source"
"Assistance rapide","MicrosoftCorporationII.QuickAssist_8…","2.0.30.0","",""
"Sous-système Windows pour Linux","MicrosoftCorporationII.WindowsSubsys…","2.1.5.0","",""
"Microsoft Teams","Microsoft.Teams.Free","24033.1005.2701.7380","24060.310…","winget"
"Windows Web Experience Pack","MicrosoftWindows.Client.WebExperienc…","424.1301.450.0","",""
"Hôte d’expérience inter-appareils","MicrosoftWindows.CrossDevice_cw5n1h2…","1.24041.33.0","",""
"NVIDIA Control Panel","NVIDIACorp.NVIDIAControlPanel_56jybv…","8.1.966.0","",""
"OBS Studio","OBSProject.OBSStudio","30.0.0","30.1.2","winget"
"Oh My Posh version 19.20.0","JanDeDobbeleer.OhMyPosh","19.20.0","19.24.3","winget"
"Microsoft OneDrive","OneDriveSetup.exe","24.070.0407.0003","",""
"Microsoft OneNote - fr-fr","OneNoteFreeRetail - fr-fr","16.0.17425.20176","",""
"Postman x86_64 10.21.0","Postman.Postman","10.21.0","10.24.16","winget"
"SAPIEN PowerShell Studio 2023","PowerShell Studio 2023 5.8.235.0","5.8.235.0","",""
"Qcma","Qcma","0.4.1","",""
"Killer Intelligence Center","RivetNetworks.KillerControlCenter_rh…","3.1423.712.0","",""
"Rustup: the Rust toolchain installer","Rustlang.Rustup","1.27.0","","winget"
"SAPIEN Updates","SAPIEN Updates 1.2.49.0","1.2.49.0","",""
"Steam","Valve.Steam","2.10.91.91","","winget"
"Project Playtime","Steam App 1961460","Unknown","",""
"Contagion","Steam App 238430","Unknown","",""
"TegraRcmGUI","eliboa.TegraRcmGUI","2.6.0","","winget"
"Waves MaxxAudio Pro for Dell 2022","WavesAudio.MaxxAudioProforDell2022_f…","5.0.59.0","",""
"Fedora Remix for WSL","whitewaterfoundry.fedora-remix-for-w…","39.0.1.0","","winget"
"Wondershare Filmora 12(Build 12.0.12…","Wondershare.Filmora","Unknown","13.3.8.69…","winget"
"Wondershare NativePush(Build 1.0.0.7)","Wondershare NativePush_is1","Unknown","",""
"XnView MP (x64)","XnSoft.XnViewMP","1.6.4.0","1.7.1.0","winget"
